E_COMMODITY,E_COMMODITY_LDESC,QTY_1_YR,QTY_1_YR_FLAG,QTY_2_YR,QTY_2_YR_FLAG,YEAR,MONTH,E_COMMODITY.1
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",9176690,-,0,-,2013,4,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",11737473,-,0,-,2013,5,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",13496181,-,0,-,2013,6,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",14952850,-,0,-,2013,7,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",16764606,-,0,-,2013,8,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",17714594,-,0,-,2013,9,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",19198795,-,0,-,2013,10,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",20450755,-,0,-,2013,11,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",21051028,-,0,-,2013,12,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",624105,-,0,-,2014,1,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",924191,-,0,-,2014,2,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",1116784,-,0,-,2014,3,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",1379032,-,0,-,2014,4,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",2280191,-,0,-,2014,5,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",2625741,-,0,-,2014,6,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",2977037,-,0,-,2014,7,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",3242153,-,0,-,2014,8,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",3705885,-,0,-,2014,9,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",4010579,-,0,-,2014,10,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",4369708,-,0,-,2014,11,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",4783458,-,0,-,2014,12,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",305027,-,0,-,2015,1,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",952946,-,0,-,2015,2,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",1568358,-,0,-,2015,3,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",1909002,-,0,-,2015,4,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",2526046,-,0,-,2015,5,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",3311853,-,0,-,2015,6,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",4041875,-,0,-,2015,7,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",4583747,-,0,-,2015,8,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",5282458,-,0,-,2015,9,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",6118863,-,0,-,2015,10,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",6465504,-,0,-,2015,11,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",7067241,-,0,-,2015,12,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",375266,-,0,-,2016,1,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",733012,-,0,-,2016,2,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",1194632,-,0,-,2016,3,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",1523864,-,0,-,2016,4,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",1853165,-,0,-,2016,5,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",2512211,-,0,-,2016,6,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",3013207,-,0,-,2016,7,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",3793659,-,0,-,2016,8,1103130060
1103130060,"GROATS AND MEAL OF CORN (MAIZE), NESOI",4248152,-,0,-,2016,9,1103130060
