E_COMMODITY_LDESC,QTY_1_MO,UNIT_QY1,YEAR,MONTH,E_COMMODITY,STATE,ALL_VAL_MO,E_COMMODITY.1
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",8543.0,KG,2020,9,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",12738.0,KG,2020,10,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",31489.0,KG,2020,11,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",67669.0,KG,2020,12,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",35824.0,KG,2021,1,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",95055.0,KG,2021,2,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",126560.0,KG,2021,3,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",19994.0,KG,2021,4,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",25558.0,KG,2021,5,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",47195.0,KG,2021,6,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",8813.0,KG,2021,7,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",23275.0,KG,2021,8,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",19516.0,KG,2021,9,1211201020,,,
"GINSENG ROOTS, CULTIVATED, FRESH OR DRIED, WHETHER OR NOT CUT, CRUSHED OR POWDERED",4450.0,KG,2021,10,1211201020,,,
